Headline,Label
Four ways Bob Corker skewered Donald Trump,1
"Linklater's war veteran comedy speaks to modern America, says star",1
Trump’s Fight With Corker Jeopardizes His Legislative Agenda,1
Egypt's Cheiron wins tie-up with Pemex for Mexican onshore oil field,1
Jason Aldean opens 'SNL' with Vegas tribute,1
JetNation FanDuel League; Week 4,0
Kansas Tried a Tax Plan Similar to Trump’s. It Failed.,1
"India RBI chief: growth important, but not at cost of inflation - newspaper",1
EPA chief to sign rule on Clean Power Plan exit on Tuesday,1
Talks on sale of Air Berlin planes to easyJet at risk of collapse: report,1
"U.S. President Donald Trump Quietly Signs Law To Allow Warrantless Searches In Parts Of VA, DC and MD",0
2017 Fantasy Football Team Defense Rankings - Week 5,0
Just Shut Up & Play Some Damn Baseball!!,0
Deloitte cyber attack affected up to 350 clients: Guardian,1
"10/7: Chuck Axed; HBD Brickyard, Adam, Moonlight Ace & Chuck; AS; Season Finales...",0
Gunman’s Girlfriend Said She Didn’t Know He Planned Harm,1
"Marilou Danley, Gunman’s Girlfriend, Says She Was Unaware of His Plans",1
Trump’s Immigration Rhetoric Echoes a Bitter Fight in the 90s,1
Trump Bemoans ‘Little Appreciation’ As San Juan Mayor Begs For Water,0
"In Meeting With Military, Trump Talks Of 'Calm Before The Storm'",0
Teacher Sparks Outrage By Asking Kids To Make Nazi Mascots,0
"9/28 Through the 40s: The Gloaming; HBD Bill, Lou, Cy the Third, Everett, Cy, Leon & Buck; Clarke Honored;Tiny 2-Hitter",0
Weinstein Co board ousts Harvey Weinstein after harassment allegations,1
Hillary Clinton Suggests That Trump May Order the Murder of Journalists,0
"9/29 Through the 40s: HBD Cannonball & Paul, Camnitz Clan, Game Stories",0
Sharapova storms into Tianjin quarter-finals,1
"10/3 Expo Park-Forbes Field Era: Pirates, Grays WS Win, Game Stories",0
Weinstein scandal no surprise to Hollywood,1
Blackhawks Roster Breakdown: Goalies,0
"With Christian Pulisic Driving, United States Steers Closer to World Cup",1
